id,gender,customer_type,age,type_of_travel,class,flight_distance,inflight_wifi_service,departure/arrival_time_convenient,ease_of_online_booking,gate_location,food_and_drink,online_boarding,seat_comfort,inflight_entertainment,onboard_service,leg_room_service,baggage_handling,checkin_service,inflight_service,cleanliness,departure_delay_in_minutes,arrival_delay_in_minutes,satisfaction
35471,Female,Loyal Customer,33,Personal Travel,Eco,1069,2,5,3,1,5,3,2,5,3,4,4,4,4,5,26,50,dissatisfied
104556,Female,Loyal Customer,49,Business travel,Business,3114,1,1,1,1,2,4,5,5,5,5,5,4,5,4,30,23,satisfied
83841,Male,Loyal Customer,31,Personal Travel,Eco,425,4,4,4,5,2,4,1,2,4,2,5,5,4,2,0,0,satisfied
12851,Female,Loyal Customer,21,Personal Travel,Eco,817,1,4,0,4,4,0,4,4,4,2,4,5,5,4,0,0,dissatisfied
72164,Male,Loyal Customer,54,Business travel,Eco Plus,331,4,1,1,1,3,4,3,3,2,4,1,3,4,3,0,0,satisfied
8067,Female,disloyal Customer,23,Business travel,Business,125,4,0,5,4,3,5,3,3,3,3,5,5,4,3,0,0,satisfied
58611,Male,Loyal Customer,46,Business travel,Business,235,2,2,2,2,3,5,4,4,4,4,4,3,4,3,24,24,satisfied
81183,Female,Loyal Customer,7,Business travel,Business,3945,2,4,3,4,2,2,2,2,4,2,4,2,3,2,0,0,dissatisfied
85309,Male,Loyal Customer,52,Personal Travel,Eco,874,3,5,3,5,4,3,4,4,4,5,4,5,4,4,0,0,dissatisfied
98360,Male,disloyal Customer,27,Business travel,Eco,789,5,5,5,3,4,5,4,4,5,1,1,2,1,4,0,0,satisfied
117379,Female,Loyal Customer,51,Business travel,Business,1294,5,5,5,5,4,4,5,3,3,3,3,3,3,3,0,0,satisfied
68573,Male,disloyal Customer,16,Business travel,Eco,1616,2,2,2,3,5,2,5,5,4,2,3,3,4,5,0,0,dissatisfied
50760,Female,Loyal Customer,36,Personal Travel,Eco,77,2,4,0,3,4,0,4,4,3,4,5,4,4,4,101,86,dissatisfied
33722,Female,Loyal Customer,50,Personal Travel,Eco,899,2,3,2,3,5,4,3,1,1,2,1,3,1,2,0,0,dissatisfied
1034,Female,Loyal Customer,46,Business travel,Business,140,1,5,4,4,3,4,4,3,3,3,1,3,3,3,25,13,dissatisfied
82493,Female,disloyal Customer,34,Business travel,Eco,488,2,4,2,4,4,2,4,4,1,2,4,3,4,4,55,60,dissatisfied
5890,Female,Loyal Customer,54,Business travel,Business,2503,1,1,1,1,4,4,4,4,4,4,5,4,4,5,5,10,satisfied
21286,Female,Loyal Customer,39,Business travel,Eco,620,4,4,4,4,4,4,4,4,2,2,5,5,2,4,0,0,satisfied
54144,Male,disloyal Customer,35,Business travel,Eco,1400,3,3,3,2,1,3,1,1,4,5,2,3,4,1,0,0,dissatisfied
5667,Male,Loyal Customer,62,Business travel,Business,196,1,1,1,1,3,4,5,4,4,4,4,4,4,3,0,0,satisfied
37114,Male,Loyal Customer,43,Business travel,Business,2456,1,1,1,1,1,2,5,4,4,5,4,4,4,5,37,44,satisfied
129267,Female,Loyal Customer,59,Business travel,Eco,2521,2,2,4,4,5,2,4,2,2,2,2,3,2,1,0,0,dissatisfied
36483,Male,Loyal Customer,55,Business travel,Business,1237,5,5,5,5,3,5,5,5,5,5,5,5,5,4,0,0,satisfied
42277,Male,Loyal Customer,23,Business travel,Business,726,3,3,3,3,4,4,4,4,2,1,4,3,1,4,0,0,satisfied
119847,Male,Loyal Customer,31,Business travel,Business,2894,4,5,4,4,4,4,4,4,4,3,3,2,3,4,0,0,dissatisfied
106328,Male,disloyal Customer,22,Business travel,Eco,825,3,3,3,4,5,3,3,5,4,3,3,2,3,5,0,2,dissatisfied
96256,Male,Loyal Customer,63,Personal Travel,Eco,460,1,1,1,4,1,1,1,1,4,4,3,1,4,1,1,0,dissatisfied
22647,Female,Loyal Customer,60,Business travel,Eco Plus,300,5,5,2,5,5,4,1,3,3,5,3,5,3,1,27,22,satisfied
22092,Female,Loyal Customer,41,Business travel,Business,3147,3,2,1,2,4,2,3,3,3,2,3,3,3,2,66,70,dissatisfied
30706,Male,Loyal Customer,59,Business travel,Business,464,4,4,4,4,5,5,5,4,4,4,4,5,4,5,13,7,satisfied
88269,Female,Loyal Customer,75,Business travel,Eco,270,4,1,1,1,2,3,4,4,4,4,4,2,4,2,0,0,dissatisfied
113177,Male,Loyal Customer,59,Personal Travel,Eco,889,4,4,4,2,1,4,1,1,5,2,4,4,4,1,0,0,dissatisfied
7207,Male,Loyal Customer,50,Business travel,Business,1855,4,4,4,4,3,5,4,5,5,5,4,4,5,3,79,95,satisfied
117875,Female,disloyal Customer,24,Business travel,Business,365,4,0,4,3,1,4,1,1,4,5,4,5,4,1,0,0,satisfied
28731,Male,disloyal Customer,28,Business travel,Eco,2149,3,3,3,5,3,3,3,3,3,2,4,5,3,3,0,0,dissatisfied
49885,Female,Loyal Customer,56,Business travel,Eco,337,3,3,3,3,2,3,4,4,4,3,4,1,4,3,3,9,dissatisfied
72253,Female,Loyal Customer,54,Business travel,Business,2592,5,5,5,5,5,4,5,5,5,5,5,3,5,3,8,6,satisfied
31299,Female,disloyal Customer,23,Business travel,Eco,680,5,5,5,2,3,5,3,3,3,2,5,4,5,3,12,11,satisfied
74747,Female,Loyal Customer,43,Personal Travel,Eco,1235,3,2,3,3,4,3,2,1,1,3,1,4,1,4,19,9,dissatisfied
50510,Male,Loyal Customer,8,Personal Travel,Eco,109,3,5,3,1,1,3,3,1,4,4,4,5,4,1,0,0,dissatisfied
72919,Female,disloyal Customer,28,Business travel,Business,1096,2,3,3,3,5,3,5,5,3,4,4,4,4,5,0,0,dissatisfied
117667,Female,Loyal Customer,28,Personal Travel,Eco,1449,2,5,2,2,2,2,2,2,3,1,4,5,3,2,42,56,dissatisfied
111145,Male,Loyal Customer,45,Business travel,Eco,650,2,4,3,4,2,2,2,2,2,4,5,3,2,2,0,0,satisfied
99703,Male,Loyal Customer,52,Business travel,Business,2026,3,3,3,3,5,5,5,4,4,4,4,3,4,4,42,42,satisfied
96283,Female,Loyal Customer,59,Personal Travel,Eco,460,2,5,2,5,3,3,4,5,5,2,4,1,5,2,4,2,dissatisfied
120340,Female,disloyal Customer,50,Business travel,Business,449,1,1,1,5,5,1,5,5,3,4,5,4,4,5,0,0,dissatisfied
114655,Female,Loyal Customer,53,Business travel,Business,480,1,1,1,1,3,4,4,4,4,4,4,5,4,4,0,0,satisfied
29979,Female,disloyal Customer,28,Business travel,Eco,725,2,2,2,1,2,2,4,2,2,1,1,5,1,2,6,2,dissatisfied
48090,Male,Loyal Customer,44,Business travel,Business,3785,4,4,4,4,3,5,2,5,5,5,3,5,5,2,0,16,satisfied
37591,Male,disloyal Customer,72,Business travel,Eco,550,1,2,1,3,1,1,1,1,3,2,3,4,3,1,3,0,dissatisfied
76095,Male,Loyal Customer,49,Personal Travel,Eco,669,5,4,4,3,5,4,5,5,5,4,5,4,4,5,8,0,satisfied
48259,Female,Loyal Customer,49,Personal Travel,Eco,391,1,5,1,4,4,5,4,3,3,1,3,5,3,4,0,0,dissatisfied
75629,Female,disloyal Customer,36,Business travel,Eco Plus,337,1,1,1,1,4,1,4,4,4,4,4,4,4,4,0,0,dissatisfied
40956,Female,disloyal Customer,41,Business travel,Eco,601,1,4,1,3,4,1,4,4,3,1,3,4,2,4,1,0,dissatisfied
81036,Female,Loyal Customer,59,Business travel,Business,1399,4,4,4,4,4,5,4,3,3,3,3,4,3,3,2,3,satisfied
50157,Male,Loyal Customer,33,Business travel,Business,1503,5,2,2,2,5,4,5,5,3,1,2,4,3,5,8,8,dissatisfied
35165,Female,Loyal Customer,44,Business travel,Eco,1035,4,3,3,3,4,5,5,4,2,1,1,5,3,5,162,178,satisfied
46040,Female,Loyal Customer,66,Business travel,Eco,991,2,1,4,1,4,3,3,2,2,2,2,1,2,4,0,7,dissatisfied
26400,Male,Loyal Customer,55,Business travel,Eco,684,5,2,2,2,5,5,5,5,4,1,3,5,3,5,0,1,satisfied
96950,Female,disloyal Customer,25,Business travel,Business,883,3,4,3,3,4,3,4,4,5,5,4,4,5,4,46,34,dissatisfied
39691,Female,disloyal Customer,14,Business travel,Eco,1463,3,3,3,4,2,3,4,2,3,2,3,3,4,2,31,56,dissatisfied
114324,Male,Loyal Customer,52,Personal Travel,Eco,948,2,0,3,1,3,3,3,3,4,3,4,5,5,3,9,13,dissatisfied
107457,Male,Loyal Customer,58,Personal Travel,Eco Plus,717,1,4,1,3,2,1,3,2,3,5,5,3,5,2,5,0,dissatisfied
83301,Male,Loyal Customer,23,Business travel,Eco Plus,1956,4,2,2,2,4,4,2,4,1,1,2,2,4,4,3,0,dissatisfied
113716,Male,Loyal Customer,27,Personal Travel,Eco,258,4,1,4,4,2,4,2,2,4,4,3,4,3,2,0,0,satisfied
78800,Female,Loyal Customer,18,Personal Travel,Eco,432,3,4,3,3,5,3,5,5,3,5,5,4,4,5,7,0,dissatisfied
90559,Female,disloyal Customer,23,Business travel,Eco,240,1,0,1,3,1,1,1,1,3,5,5,4,4,1,0,2,dissatisfied
29742,Female,Loyal Customer,59,Business travel,Business,2208,3,3,3,3,2,4,5,4,4,4,4,5,4,4,0,0,satisfied
52393,Male,Loyal Customer,8,Personal Travel,Eco,370,2,1,4,3,3,4,3,3,3,3,3,1,4,3,19,12,dissatisfied
101787,Male,Loyal Customer,53,Business travel,Business,1521,1,1,1,1,3,5,4,5,5,5,5,4,5,5,5,0,satisfied
129481,Male,Loyal Customer,47,Business travel,Business,2704,1,1,1,1,4,3,4,5,5,5,5,5,5,4,0,0,satisfied
109342,Male,Loyal Customer,42,Business travel,Business,2334,5,5,5,5,3,5,4,5,5,5,5,5,5,3,0,0,satisfied
3882,Male,Loyal Customer,42,Business travel,Business,213,4,2,3,3,4,3,4,1,1,1,4,3,1,4,59,44,dissatisfied
32108,Male,disloyal Customer,20,Business travel,Eco,101,2,0,2,5,1,2,1,1,5,5,1,3,2,1,1,11,dissatisfied
99491,Male,Loyal Customer,67,Personal Travel,Eco,307,4,4,4,1,1,4,1,1,3,4,3,3,4,1,3,0,dissatisfied
120353,Male,Loyal Customer,32,Business travel,Business,413,5,5,3,5,4,4,4,4,4,2,5,5,5,4,0,15,satisfied
56277,Male,Loyal Customer,45,Business travel,Business,2227,2,2,2,2,3,3,5,5,5,4,5,4,5,5,0,0,satisfied
43752,Male,Loyal Customer,38,Business travel,Business,3995,3,3,4,3,5,5,5,4,4,4,4,1,4,5,0,0,satisfied
58025,Female,Loyal Customer,66,Personal Travel,Eco,1721,4,5,4,2,5,5,5,5,5,4,5,5,5,3,0,0,dissatisfied
